Units,Maneuvers,Probability,Fill,Avg time,Min Time,Max Time,Solution type,Avg solution,Avg iterations,Avg nodes,Avg cuts Clique,Avg cuts Cover,Avg cuts Disjunctive,Avg cuts Flow cover,Avg cuts Gomory,Avg cuts GUB,Avg cuts zero-half,Avg cuts lift and projects,Total avg cuts
10.0,9.0,0.7999999999999999,0.19999999999999998,0.0312044620513916,0.022032499313354492,0.038033246994018555,integer optimal solution,3.4,41.7,0.0,2.9,0.0,0.0,0.0,1.2,0.0,5.5,0.3,9.9
10.0,9.0,0.7999999999999999,0.29999999999999993,0.06670980453491211,0.037049293518066406,0.1419990062713623,integer optimal solution,4.0,168.1,0.0,8.9,0.0,0.0,0.0,1.8,0.0,8.9,0.3,19.9
10.0,9.0,0.7999999999999999,0.39999999999999997,0.15460031032562255,0.05299973487854004,0.19700288772583008,integer optimal solution,2.3,439.4,0.0,17.0,0.0,0.0,0.0,0.5,0.0,17.8,0.4,35.7
10.0,9.0,0.7999999999999999,0.5,0.04055245717366537,0.0389704704284668,0.045999765396118164,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,9.0,0.8,0.5,0.15100479125976562,0.15100479125976562,0.15100479125976562,integer optimal solution,1.0,462.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,39.0
10.0,9.0,0.7999999999999999,0.5999999999999999,0.04979708194732666,0.043000221252441406,0.06296992301940918,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,9.0,0.7999999999999999,0.7000000000000001,0.04880001544952393,0.04699850082397461,0.052000999450683594,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,9.0,0.7999999999999999,0.7999999999999999,0.05549788475036621,0.04800128936767578,0.06400132179260254,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,9.0,0.7999999999999999,0.9000000000000001,0.058586502075195314,0.05499625205993652,0.06500053405761719,integer infeasible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,9.0,1.0,0.09999999999999999,0.016496706008911132,0.013965606689453125,0.022000551223754883,integer optimal solution,2.3,10.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.2,0.1,0.4
